,Tweet,Time,nb_favorites
414,rt 2022 annual sharehold meet,2022-08-06 15:37:13+00:00,0
415,move rocket launch pad,2022-08-06 01:23:22+00:00,146030
416,hustl starship booster 7 back pad test outer ring 20 engin,2022-08-05 18:56:10+00:00,66306
417,full send podcast,2022-08-05 15:13:31+00:00,43863
418,thank good senat manchin,2022-08-05 06:34:11+00:00,91011
419,rt livestream 2022 annual tesla sharehold meet today 4 30pm ct,2022-08-04 19:23:21+00:00,0
420,ratio digit biolog comput grow fast worth track,2022-08-02 23:52:03+00:00,100532
421,came pretti good cnbc piec spacex amp starship,2022-08-02 22:00:38+00:00,30215
422,worth read close match philosophi,2022-08-02 05:15:23+00:00,46540
423,still time vote,2022-08-01 22:19:04+00:00,26916
424,,2022-08-01 21:37:42+00:00,202389
425,thanksgiv last year watch one mani episod vike,2022-08-01 06:05:29+00:00,405672
426,realiti actual alien soap opera rate,2022-07-31 22:32:36+00:00,149538
427,mayb free peopl jail weed,2022-07-31 14:22:14+00:00,382765
428,race set harley quinn,2022-07-31 02:27:16+00:00,30152
429,peopl nonsens person littl nonsens,2022-07-30 14:20:06+00:00,168964
430,tesla twitter gt twizzler,2022-07-30 14:01:33+00:00,267182
431,interact twitter account seem much lower recent week amp day accur,2022-07-30 13:51:37+00:00,134908
432,saxon,2022-07-30 07:10:13+00:00,46037
433,friend made 2 year ago,2022-07-30 02:13:42+00:00,72975
434,tri voic command open butthol tesla,2022-07-30 01:46:25+00:00,158376
435,,2022-07-30 01:43:41+00:00,340097
436,heatwav shortvill,2022-07-30 00:09:07+00:00,66482
437,sure starship reach escap veloc hubri certain,2022-07-29 14:46:31+00:00,96096
438,inflat trend,2022-07-29 00:29:37+00:00,160663
439,much harder make friend enemi skill latter improv,2022-07-28 03:50:24+00:00,270668
440,media click seek machin dress truth seek machin,2022-07-27 16:07:30+00:00,336153
441,new philosophi futur need believ curios univers expand human,2022-07-27 15:38:48+00:00,160743
442,amount attent gone supernova super suck unfortun even trivial articl,2022-07-25 22:37:15+00:00,381357
443,tesla come free karaok app,2022-07-25 20:40:56+00:00,211921
444,singl piec cast reduc weight great simplifi factori increas ride qualiti amp reduc road nois,2022-07-25 13:20:13+00:00,71547
445,video game enjoy past year two,2022-07-25 06:10:38+00:00,223101
446,movi idea boss babi meet das boot das babi hijink high sea,2022-07-25 04:04:27+00:00,74873
447,dark origin lem mass suicid myth,2022-07-24 22:48:10+00:00,40234
448,sjm,2022-07-24 04:17:38+00:00,36377
449,,2022-07-24 03:58:16+00:00,317802
450,gehalt und gestalt,2022-07-24 03:14:17+00:00,62446
451,excit work tesla servic enabl hour servic possibl appli formula 1 pit crew techniqu tesla,2022-07-23 12:12:22+00:00,106340
452,rt falcon 9 s first stage land cours still love droneship mark spacex s second launch land,2022-07-22 19:02:10+00:00,0
453,starlink now avail 36 countri,2022-07-22 19:01:32+00:00,70528
454,congrat spacex team record number launch,2022-07-22 19:00:14+00:00,45852
455,optimus prime,2022-07-22 13:35:52+00:00,266742
456,,2022-07-21 03:28:31+00:00,407402
457,rt nasa select falcon heavi launch roman space telescop design studi dark energi dark matter sea,2022-07-19 22:20:05+00:00,0
458,one best featur model x,2022-07-19 17:34:20+00:00,106278
459,congrat tesla fremont giga nevada make 2 millionth car,2022-07-19 15:55:22+00:00,110551
460,pleas vote share tesla,2022-07-19 07:00:38+00:00,33807
461,,2022-07-18 20:17:23+00:00,352895
462,rt falcon 9 complet 31 mission far year deliv 351 metric ton orbit carri astronaut amp research t,2022-07-18 17:20:41+00:00,0
463,tesla protect life earth spacex extend life beyond,2022-07-15 12:55:42+00:00,225796
464,mar fixer upper planet great potenti,2022-07-15 12:21:05+00:00,146566
465,,2022-07-15 04:03:02+00:00,627884
