,Tweet,Time,nb_favorites
330,,2022-09-18 03:16:21+00:00,259176
331,starlink meant peac use,2022-09-17 01:48:30+00:00,221516
332,salt butter amaz store room temperatur,2022-09-14 07:38:04+00:00,130799
333,,2022-09-14 03:57:18+00:00,292292
334,blow whistl,2022-09-13 23:02:37+00:00,52003
335,,2022-09-13 18:49:25+00:00,38984
336,tweet suppress,2022-09-13 18:05:36+00:00,131080
337,anyon know secret client twitter right now haha,2022-09-13 17:45:44+00:00,19410
338,rome show underappreci,2022-09-13 16:51:22+00:00,21172
339,,2022-09-13 14:48:08+00:00,49912
340,take moment,2022-09-13 00:16:11+00:00,371741
341,long view gasolin car way view steam engin today,2022-09-12 20:07:08+00:00,179564
342,fsd beta 10 69 2 roll now pleas note top prioriti safeti expect over cautious esp,2022-09-11 21:31:34+00:00,46821
343,falcon arch orbit,2022-09-11 03:00:14+00:00,180460
344,obvious limit rocket reflight far,2022-09-11 02:29:13+00:00,46462
345,take materi scienc 101 regret,2022-09-09 23:52:33+00:00,141055
346,major fed rate hike risk deflat,2022-09-09 23:40:48+00:00,83934
347,tesla north america aim gt 50 hour servic,2022-09-09 22:22:27+00:00,38965
348,rememb,2022-09-08 09:22:07+00:00,107656
349,rt,2022-09-08 04:33:41+00:00,0
350,rt tesla model y receiv highest safeti score vehicl test,2022-09-07 10:42:50+00:00,0
351,punni,2022-09-07 04:19:58+00:00,75695
352,rt enter destin amp tesla automat includ supercharg stop rout,2022-09-07 01:49:58+00:00,0
353,order tesla powerwal batteri blackout protect,2022-09-05 23:50:46+00:00,46813
354,tolkien turn grave,2022-09-05 18:01:44+00:00,286470
355,,2022-09-03 02:06:02+00:00,82422
356,sure sound higher 5,2022-09-01 04:05:27+00:00,92500
357,now launch 5 day,2022-08-31 15:06:53+00:00,59850
358,rt falcon 9 launch starlink orbit spacex s sixth launch month,2022-08-31 15:03:31+00:00,0
359,rt extrem heat durabl test dubai,2022-08-30 22:58:36+00:00,0
360,spent day walk entir giga berlin product line team excel work,2022-08-30 22:50:03+00:00,114326
361,kickass internet connect come royal caribbean ship soon,2022-08-30 22:38:14+00:00,65904
362,happen matter time,2022-08-28 23:51:49+00:00,53640
363,godspe artemi,2022-08-28 23:35:36+00:00,50941
364,time time share thing seem work case find help,2022-08-28 17:54:13+00:00,203854
365,advic good friend fast period amp feel healthier,2022-08-28 17:40:02+00:00,196918
366,squeez extra perform falcon 9 17 metric ton actual use orbit booster amp fai,2022-08-28 05:29:11+00:00,35013
367,rt starlink now avail norway addit better reflect pariti purchas power custom adj,2022-08-28 05:25:34+00:00,0
368,countri increas nuclear power generat insan nation secur standpoint amp bad,2022-08-26 22:27:59+00:00,300070
369,popul collaps due low birth rate much bigger risk civil global warm,2022-08-26 04:27:02+00:00,350637
370,starlink v2 launch next year transmit direct mobil phone elimin dead zone worldwid,2022-08-26 00:13:51+00:00,197482
371,rt watch live elon ceo presid mike sievert announc plan increas connect,2022-08-26 00:06:33+00:00,0
372,livestream big news hour,2022-08-25 22:49:28+00:00,26402
373,someth special,2022-08-24 16:31:54+00:00,42600
374,cours civil alway upward,2022-08-24 07:28:13+00:00,33716
375,mechazilla load starship launchpad,2022-08-24 05:44:21+00:00,159030
376,,2022-08-23 15:52:07+00:00,95584
377,neuralink progress updat show amp tell octob 31 st halloween,2022-08-22 06:57:42+00:00,93246
378,2 main goal year starship orbit fsd wide releas mani thing cours 2,2022-08-22 06:55:01+00:00,75284
379,,2022-08-21 22:08:02+00:00,265723
380,wide releas fsd beta 10 69 2 price fsd rise 15k north america septemb 5th current,2022-08-21 14:40:36+00:00,38748
